symbol,timeframe,start_ts,decision_ts,exit_ts,entry_price,exit_price,sig_trend_direction,sig_recent_momentum,sig_volume_relative,sig_price_vs_ma25,sig_ma_cross_7_25,sig_rsi_zone,sig_support_resistance,bias_score,bias_direction,bias_strength,outcome_direction,outcome_pct,outcome_whipsaw,edu_score,coherence,_signals_full
BTCUSDT,1h,2025-08-04 12:00:00,2025-08-10 14:00:00,2025-08-11 02:00:00,118749.3,121837.5,bullish,mixed,normal,far_above,ma7_above_stable,neutral_high,breaking_resistance,6,bullish,strong,up,2.6,False,90,confirmed,"{""trend_direction"": {""state"": ""bullish"", ""detail"": {""slope_pct_per_candle"": 0.1076, ""lookback"": 20}, ""confidence"": ""moderate""}, ""recent_momentum"": {""state"": ""mixed"", ""detail"": {""bullish_candles"": 3, ""bearish_candles"": 2, ""body_ratio_vs_hist"": 0.97, ""body_trend"": ""falling""}, ""confidence"": ""moderate""}, ""volume_relative"": {""state"": ""normal"", ""detail"": {""ratio"": 0.91, ""recent_avg"": 4510.8778999999995, ""hist_avg"": 4936.419355000001}, ""confidence"": ""moderate""}, ""price_vs_ma25"": {""state"": ""far_above"", ""detail"": {""z_score"": 2.19, ""pct_distance"": 1.12}, ""confidence"": ""strong""}, ""ma_cross_7_25"": {""state"": ""ma7_above_stable"", ""detail"": {""bars_since_cross"": null, ""lookback"": 10}, ""confidence"": ""moderate""}, ""rsi_zone"": {""state"": ""neutral_high"", ""detail"": {""rsi_value"": 67.6}, ""confidence"": ""moderate""}, ""support_resistance"": {""state"": ""breaking_resistance"", ""detail"": {""high"": 118841.7, ""low"": 115850.0, ""position"": 0.97}, ""confidence"": ""strong""}}"
BTCUSDT,1h,2022-06-13 12:00:00,2022-06-19 14:00:00,2022-06-20 02:00:00,19460.0,19936.301,bullish_strong,mixed,normal,above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,2.45,False,90,confirmed,"{""trend_direction"": {""state"": ""bullish_strong"", ""detail"": {""slope_pct_per_candle"": 0.3212, ""lookback"": 20}, ""confidence"": ""strong""}, ""recent_momentum"": {""state"": ""mixed"", ""detail"": {""bullish_candles"": 2, ""bearish_candles"": 3, ""body_ratio_vs_hist"": 1.49, ""body_trend"": ""falling""}, ""confidence"": ""moderate""}, ""volume_relative"": {""state"": ""normal"", ""detail"": {""ratio"": 1.07, ""recent_avg"": 58892.174399999996, ""hist_avg"": 55056.38215}, ""confidence"": ""moderate""}, ""price_vs_ma25"": {""state"": ""above"", ""detail"": {""z_score"": 0.95, ""pct_distance"": 3.81}, ""confidence"": ""moderate""}, ""ma_cross_7_25"": {""state"": ""fresh_bullish_cross"", ""detail"": {""bars_since_cross"": ""3"", ""lookback"": 10}, ""confidence"": ""strong""}, ""rsi_zone"": {""state"": ""neutral_high"", ""detail"": {""rsi_value"": 55.6}, ""confidence"": ""weak""}, ""support_resistance"": {""state"": ""mid_range"", ""detail"": {""high"": 20912.4, ""low"": 17593.199, ""position"": 0.56}, ""confidence"": ""weak""}}"
BTCUSDT,1h,2021-06-01 18:00:00,2021-06-07 20:00:00,2021-06-08 08:00:00,34431.109,32891.34,bearish_strong,accelerating_down,rising,far_below,fresh_bearish_cross,oversold,mid_range,-6,bearish,strong,down,-4.47,False,90,confirmed,"{""trend_direction"": {""state"": ""bearish_strong"", ""detail"": {""slope_pct_per_candle"": -0.1761, ""lookback"": 20}, ""confidence"": ""strong""}, ""recent_momentum"": {""state"": ""accelerating_down"", ""detail"": {""bullish_candles"": 1, ""bearish_candles"": 4, ""body_ratio_vs_hist"": 1.96, ""body_trend"": ""rising""}, ""confidence"": ""strong""}, ""volume_relative"": {""state"": ""rising"", ""detail"": {""ratio"": 1.51, ""recent_avg"": 31917.188199999997, ""hist_avg"": 21104.220305000003}, ""confidence"": ""moderate""}, ""price_vs_ma25"": {""state"": ""far_below"", ""detail"": {""z_score"": -3.75, ""pct_distance"": -4.52}, ""confidence"": ""strong""}, ""ma_cross_7_25"": {""state"": ""fresh_bearish_cross"", ""detail"": {""bars_since_cross"": ""3"", ""lookback"": 10}, ""confidence"": ""strong""}, ""rsi_zone"": {""state"": ""oversold"", ""detail"": {""rsi_value"": 26.9}, ""confidence"": ""moderate""}, ""support_resistance"": {""state"": ""mid_range"", ""detail"": {""high"": 36820.0, ""low"": 33910.0, ""position"": 0.18}, ""confidence"": ""weak""}}"
BTCUSDT,1h,2022-06-12 06:00:00,2022-06-18 08:00:00,2022-06-18 20:00:00,18997.6,17798.0,bearish_strong,accelerating_down,rising,far_below,ma7_below_stable,oversold,mid_range,-5,bearish,strong,down,-6.31,False,90,confirmed,"{""trend_direction"": {""state"": ""bearish_strong"", ""detail"": {""slope_pct_per_candle"": -0.2947, ""lookback"": 20}, ""confidence"": ""strong""}, ""recent_momentum"": {""state"": ""accelerating_down"", ""detail"": {""bullish_candles"": 1, ""bearish_candles"": 4, ""body_ratio_vs_hist"": 2.8, ""body_trend"": ""rising""}, ""confidence"": ""strong""}, ""volume_relative"": {""state"": ""rising"", ""detail"": {""ratio"": 2.39, ""recent_avg"": 65443.1777, ""hist_avg"": 27403.448450000004}, ""confidence"": ""strong""}, ""price_vs_ma25"": {""state"": ""far_below"", ""detail"": {""z_score"": -3.57, ""pct_distance"": -7.13}, ""confidence"": ""strong""}, ""ma_cross_7_25"": {""state"": ""ma7_below_stable"", ""detail"": {""bars_since_cross"": null, ""lookback"": 10}, ""confidence"": ""moderate""}, ""rsi_zone"": {""state"": ""oversold"", ""detail"": {""rsi_value"": 20.7}, ""confidence"": ""strong""}, ""support_resistance"": {""state"": ""mid_range"", ""detail"": {""high"": 21928.699, ""low"": 18690.0, ""position"": 0.09}, ""confidence"": ""weak""}}"
